               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10051,            0.023169,                   0,            0.082003,             0.10577,            0.032324,           0.0070753,            0.069841,            0.012268,                   0,              0.0811,              0.0021,              0.0021
                   1,            0.075052,            0.023448,                   0,             0.53876,             0.52885,             0.52726,             0.14596,            0.055891,            0.010387,                   0,            0.061215,           0.0042149,           0.0042149
                   2,            0.062435,            0.020156,                   0,             0.62311,             0.79808,               0.768,             0.27056,            0.053305,           0.0090792,                   0,            0.041243,           0.0062426,           0.0062426
                   3,             0.05612,            0.018675,                   0,             0.65645,             0.78846,             0.71554,               0.264,            0.059952,           0.0086854,                   0,            0.021183,           0.0081832,           0.0081832
                   4,            0.057662,            0.017069,                   0,             0.57155,             0.91346,             0.64973,             0.24588,            0.043933,           0.0059765,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.049777,             0.01673,                   0,             0.75265,             0.90701,             0.91313,             0.37194,            0.037849,           0.0054919,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.043908,            0.015062,                   0,             0.86905,             0.89335,             0.94418,             0.51561,            0.036864,           0.0050005,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.041085,            0.013246,                   0,             0.80815,             0.88462,             0.89665,             0.41689,            0.042737,           0.0045991,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.040396,            0.013806,                   0,             0.96906,                   1,             0.99239,             0.66443,            0.025869,           0.0042807,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.035836,            0.012035,                   0,             0.80122,             0.85264,             0.91664,             0.52714,            0.028557,           0.0040581,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.034559,            0.011956,                   0,             0.84088,             0.91466,              0.9529,             0.55599,            0.026113,           0.0037836,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.032735,            0.011415,                   0,             0.88759,             0.98698,             0.96892,              0.6244,            0.027693,           0.0037373,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.032099,           0.0098057,                   0,             0.94454,             0.98263,             0.98948,             0.63835,            0.024421,           0.0036465,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.03005,            0.010436,                   0,             0.99031,             0.98314,             0.99327,             0.66184,            0.020757,           0.0034987,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.029558,            0.010118,                   0,             0.99044,             0.99666,             0.99405,             0.67026,            0.021245,           0.0034359,                   0,            0.007426,            0.007426,            0.007426
